code,description,description_es
721,"Real estate services involving own or leased property","Servicios inmobiliarios relativos a bienes raíces propios o arrendados"
722,"Real estate services on a fee or contract basis","Servicios inmobiliarios sobre la base de una comisión o contrato"
73,"Leasing or rental services without operator","Servicios de arrendamiento (leasing) o alquiler sin operario"
731,"Leasing or rental services concerning machinery and equipment without operator","Servicios de arrendamiento (leasing) o alquiler de maquinaria y equipo sin operario"
732,"Leasing or rental services concerning other goods","Servicios de arrendamiento (leasing) o alquiler de otros bienes"
733,"Licensing services for the right to use intellectual property and similar products","Servicios de concesión de licencias para el derecho de uso de la propiedad intelectual y productos similares"
8,"Business and production services","Servicios prestados a las empresas y servicios de producción"
81,"Research and development services","Servicios de investigación y desarrollo"
811,"Research and experimental development services in natural sciences and engineering","Servicios de investigación y desarrollo experimental en ciencias naturales e ingeniería"
812,"Research and experimental development services in social sciences and humanities","Servicios de investigación y desarrollo experimental en ciencias sociales y humanidades"
813,"Interdisciplinary research and experimental development services","Servicios interdisciplinarios de investigación y desarrollo experimental"
814,"Research and development originals","Creaciones originales relacionadas con la investigación y desarrollo"
82,"Legal and accounting services","Servicios jurídicos y contables"
821,"Legal services","Servicios jurídicos"
822,"Accounting, auditing and bookkeeping services","Servicios de contabilidad, auditoria y teneduría de libros"
823,"Tax consultancy and preparation services","Servicios de preparación y asesoramiento tributario"
824,"Insolvency and receivership services","Servicios relacionados con casos de insolvencia y liquidación"
83,"Other professional, technical and business services","Otros servicios profesionales, científicos y técnicos"
831,"Management consulting and management services; information technology services","Servicios de consultoría en administración y servicios de gestión; servicios de tecnología de la información"
832,"Architectural services, urban and land planning and landscape architectural services","Servicios de arquitectura, servicios de planeación urbana y ordenación del territorio; servicios de arquitectura paisajista."
833,"Engineering services","Servicios de ingeniería"
834,"Scientific and other technical services","Servicios científicos y otros servicios técnicos"
835,"Veterinary services","Servicios de veterinario"
836,"Advertising services and provision of advertising space or time","Servicios de publicidad y el suministro de espacio o tiempo publicitarios"
837,"Market research and public opinion polling services","Servicios de investigación de mercados y de encuestas de opinión pública"
838,"Photography services and photographic processing services","Servicios fotográficos y servicios de revelado fotográfico"
839,"Other professional, technical and business services n.e.c.","Otros servicios profesionales, técnicos y empresariales n.c.p."
84,"Telecommunications, broadcasting and information supply services","Servicios de telecomunicaciones, transmisión y suministro de información"
841,"Telephony and other telecommunications services","Servicios de telefonía y otros servicios de telecomunicaciones"
842,"Internet telecommunications services","Servicios de telecomunicaciones a través de Internet"
843,"On-line content","Contenidos en línea (on-line)"
844,"News agency services","Servicios de agencias de noticias"
845,"Library and archive services","Servicios de bibliotecas y archivos"
846,"Broadcasting, programming and programme distribution services","Servicios de programación, distribución y transmisión de programas"
85,"Support services","Servicios de soporte"
851,"Employment services","Servicios de empleo (trabajo)"
852,"Investigation and security services","Servicios de investigación y seguridad"
853,"Cleaning services","Servicios de limpieza"
854,"Packaging services","Servicios de empaque"
855,"Travel arrangement, tour operator and related services","Servicios de organización de viajes, operadores turísticos y servicios conexos"
859,"Other support services","Otros servicios de auxiliares"
86,"Support services to agriculture, hunting, forestry, fishing, mining and utilities","Servicios de apoyo a la agricultura,la caza, la silvicutura, la pesca, la minería y los servicios públicos"
861,"Support services to agriculture, hunting, forestry and fishing","Servicios de apoyo a la agricultura, caza, silvicultura y pesca"
862,"Support services to mining","Servicios de apoyo a la minería"
863,"Support services to electricity, gas and water distribution","Servicios de apoyo a la distribución de electricidad, gas y agua"
87,"Maintenance, repair and installation (except construction) services","Servicios de mantenimiento y reparación e instalación (excepto servicios de construcción)"
871,"Maintenance and repair services of fabricated metal products, machinery and equipment","Servicios de mantenimiento y reparación de productos metálicos elaborados, maquinaria y equipo"
872,"Repair services of other goods","Servicios de reparación de otros bienes"
873,"Installation services (other than construction)","Servicios de instalación (excepto construcción)"
88,"Manufacturing services on physical inputs owned by others","Servicios de fabricación de insumos físicos que son propiedad de otros"
881,"Food, beverage and tobacco manufacturing services","Servicios de fabricación de alimentos, bebidas y tabaco"
882,"Textile, wearing apparel and leather manufacturing services","Servicios de elaboración de textiles, prendas de vestir y cuero"
883,"Wood and paper manufacturing services","Servicios de fabricación de papel y madera"
884,"Petroleum, chemical and pharmaceutical product manufacturing services","Servicios de fabricación de productos de la refinación del petróleo, productos químicos y farmacéuticos"
885,"Rubber, plastic and other non-metallic mineral product manufacturing services","Servicios de fabricación de productos de caucho, plástico y otros productos minerales no metálicos"
886,"Basic metal manufacturing services","Servicios de fabricación de productos metalúrgicos básicos"
887,"Fabricated metal product, machinery and equipment manufacturing services","Servicios de fabricación de productos metálicos elaborados, maquinaria y equipo"
888,"Transport equipment manufacturing services","Servicios de fabricación de equipo de transporte"
889,"Other manufacturing services","Otros servicios de fabricación"
89,"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Otros servicios de manufactura; servicios de edición, impresión y reproducción; servicios de recuperación de materiales"
891,"Publishing, printing and reproduction services","Servicios de edición, impresión y reproducción"
892,"Moulding, pressing, stamping, extruding and similar plastic manufacturing services","Servicios de moldeado, estampado, extrusión y fabricación de productos similares de plástico"
893,"Casting, forging, stamping and similar metal manufacturing services","Servicios de fundición, forja, estampado y fabricación de productos similares de metales"
894,"Materials recovery (recycling) services, on a fee or contract basis","Servicio de recuperación de materiales (reciclaje), a comisión o por contrato"
9,"Community, social and personal services","Servicios para la comunidad, sociales y personales"
91,"Public administration and other services provided to the community as a whole; compulsory social security services","Servicios de administración pública y otros servicios prestados a la comunidad en general; servicios de seguridad social obligatoria"
911,"Administrative services of the government","Servicios administrativos del gobierno"
912,"Public administrative services provided to the community as a whole","Servicios de la administración pública prestados a la comunidad en general"
913,"Administrative services related to compulsory social security schemes","Servicios administrativos relacionados con los esquemas de seguridad social de afiliación obligatoria"
92,"Education services","Servicios de enseñanza"
921,"Pre-primary education services","Servicios de enseñanza preescolar"
922,"Primary education services","Servicios de enseñanza primaria"
923,"Secondary education services","Servicios de enseñanza secundaria"
924,"Post-secondary non-tertiary education services","Servicios de educación post-secundaria no terciaria"
925,"Tertiary education services","Servicios de educación terciaria"
929,"Other education and training services and educational support services","Otros servicios de educación y capacitación y servicios de apoyo educativo"
93,"Human health and social care services","Servicios de salud humana y servicios de atención social"
931,"Human health services","Servicios de salud humana"
932,"Residential care services for the elderly and disabled","Servicios de atención residencial para persona mayores y con discapacidad"
933,"Other social services with accommodation","Otros servicios sociales con alojamiento"
934,"Social services without accommodation for the elderly and disabled","Servicios sociales sin alojamiento para personas mayores con discapacidad"
935,"Other social services without accommodation","Otros servicios sociales sin alojamiento"
94,"Sewage and waste collection, treatment and disposal and other environmental protection services","Servicios de alcantarillado, recolección, tratamiento y disposición de desechos y otros servicios de saneamiento ambiental"
941,"Sewerage, sewage treatment and septic tank cleaning services","Servicios de alcantarillado, servicios de limpieza, tratamiento de aguas residuales y tanques sépticos"
942,"Waste collection services","Servicios de recolección de desechos"
943,"Waste treatment and disposal services","Servicios de tratamiento y disposición de desechos"
944,"Remediation services","Servicios de descontaminación"
945,"Sanitation and similar services","Servicios de saneamiento y similares"
949,"Other environmental protection services n.e.c.","Otros servicios de protección del medio ambiente n.c.p."
95,"Services of membership organizations","Servicios de asociaciones"
951,"Services furnished by business, employers and professional organizations","Servicios proporcionados por organizaciones gremiales, comerciales y organizaciones de empleadores y de profesionales"
952,"Services furnished by trade unions","Servicios proporcionados por sindicatos"
959,"Services furnished by other membership organizations","Servicios proporcionados por otras asociaciones"
96,"Recreational, cultural and sporting services","Servicios de esparcimiento, culturales y deportivos"
961,"Audiovisual and related services","Servicios audiovisuales y servicios conexos"
962,"Performing arts and other live entertainment event presentation and promotion services","Servicios de promoción y presentación de artes escénicas y eventos de entretenimiento en vivo"
963,"Services of performing and other artists","Servicios relacionados con actores y otros artistas"
964,"Museum and preservation services","Servicios de preservación y museos"
965,"Sports and recreational sports services","Servicios deportivos y deportes recreativos"
966,"Services of athletes and related support services","Servicios de atletas y servicios de auxiliares conexos"
969,"Other amusement and recreational services","Otros servicios de esparcimiento y diversión"
97,"Other services","Otros servicios"
971,"Washing, cleaning and dyeing services","Servicios de lavado, limpieza y teñido"
972,"Beauty and physical well-being services","Servicios de tratamientos de belleza y de bienestar físico"
973,"Funeral, cremation and undertaking services","Servicios funerarios, de cremación y de sepultura"
979,"Other miscellaneous services","Otros servicios diversos"
98,"Domestic services","Servicios domésticos"
980,"Domestic services","Servicios domésticos"
99,"Services provided by extraterritorial organizations and bodies","Servicios prestados por organizaciones y organismos extraterritoriales"
990,"Services provided by extraterritorial organizations and bodies","Servicios prestados por organizaciones y organismos extraterritoriales"
